module,classification,view_roles,create_roles,edit_roles,delete_roles,send_publish_roles,approve_reject_roles,import_export_roles,financial_data,guest_pii,documents,admin_controls,backend_coverage,notes
Tasks,IMPLEMENTED,"task.read; task.read_private only by explicit role/override",task.write,"task.write; task.assign",task.delete,task.write,none,planning.read,none,private task ACL and comment plain text,attachments disabled,worker handles version-safe reminders only,IMPLEMENTED_SLICE_2B; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Assignment uses active WorkspaceMembership IDs; status changes require state-machine transitions and If-Match."
Calendar,IMPLEMENTED,calendar.read,calendar.write,calendar.write,calendar.write,none,none,calendar.read,none,authorized event details only,ICS only,none,IMPLEMENTED_SLICE_2B; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Native events are editable; task/milestone/onboarding projections are read-only and navigate to their canonical source."
Timeline,IMPLEMENTED,timeline.read,timeline.write,timeline.write,timeline.write,none,none,timeline.read,none,redacted/none,CSV planning artifact only,none,IMPLEMENTED_SLICE_2B; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Milestone writes use If-Match; recalculation requires timeline.recalculate and returns preview without silent deadline overwrite."
Command/Search/Quick Create,IMPLEMENTED,"capability-filtered active-domain access","task.write; calendar.write; guest.write; expense.write; payment.write; rfq.write","task.write; calendar.write; expense.write; payment.write; rfq.write",none,rfq.send,none,none,minor-unit financial data,redacted/none,none,none,IMPLEMENTED_SLICE_5; E2E_TESTED,"Authorized search covers active commercial resources; Quick Create supports task, event, guest, household, expense, external payment, vendor search and RFQ. Future contract/risk actions remain disabled."
Notifications,IMPLEMENTED,workspace_members_by_capability,system_worker,"notification owner","notification owner","notification owner",none,none,none unless linked record is redacted,recipient-owned only,none,none,IMPLEMENTED; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Workspace-scoped list/count/mark-all plus owner-scoped update/delete use RLS, cursor pagination, filters and idempotent worker projections."
Activity/Audit,IMPLEMENTED,workspace_members_by_capability,system_worker,none,none,none,none,"couple_owner,couple_partner,wedding_planner",none unless linked record is redacted,redacted summaries only,generated CSV artifact only,none,IMPLEMENTED; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Append-only audit remains source evidence; ActivityItem is an idempotent redacted projection and export is a durable async job."
Workspace,IMPLEMENTED,workspace_members,couple_owner,couple_owner,couple_owner,couple_owner,couple_owner,couple_owner,none unless linked record is redacted,redacted/none,linked file metadata only,none,IMPLEMENTED; INTEGRATION_TESTED; E2E_TESTED,"List, atomic create, bootstrap and optimistic update are protected by session, capability checks and RLS."
Team,IMPLEMENTED,workspace_members,couple_owner,couple_owner,couple_owner,couple_owner,couple_owner,couple_owner,none unless linked record is redacted,redacted/none,linked file metadata only,none,IMPLEMENTED; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Membership list, invitation lifecycle, role update and removal are server-authorized and tenant-isolated."
Settings/Billing,PARTIALLY IMPLEMENTED,"couple_owner,couple_partner,wedding_planner_with_grant","couple_owner,couple_partner,wedding_planner_with_grant","couple_owner,couple_partner,wedding_planner_with_grant","couple_owner,couple_partner","couple_owner,couple_partner","couple_owner,couple_partner","couple_owner,couple_partner,wedding_planner_with_grant",capability:finance.read/write,redacted/none,linked file metadata only,none,IMPLEMENTED profile preferences and sessions; PLANNED billing,"Profile, workspace, appearance, notification preferences and sessions use real APIs; billing remains disabled/planned."
Budget,IMPLEMENTED,budget.read,budget.write,budget.write,budget.write,none,none,budget.export,"budget amounts in integer minor units",redacted/none,GeneratedArtifact CSV/XLSX,none,IMPLEMENTED_SLICE_5; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Budget plan, categories and items are canonical server state with server-side totals, If-Match and forced workspace RLS."
Expenses,IMPLEMENTED,expense.read,expense.write,expense.write,expense.write,none,none,budget.export,"expense amounts and private notes by capability",redacted/none,commercial artifact only,none,IMPLEMENTED_SLICE_5; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Expense records link canonical budget items and optionally vendor/booking/contract sources; no payment processing exists."
Payments,IMPLEMENTED,"payment.read; online_payment.read","payment.write; online_payment.create_checkout","payment.write; payment.confirm; payment.reverse; online_payment.expire_checkout",payment.write,none,"payment.confirm; payment.reverse; online_payment.request_refund",payment.export,"manual external evidence plus provider checkout/transaction/refund metadata in integer minor units",redacted/none,"GeneratedArtifact CSV/XLSX plus private payment evidence",online_payment.reconcile,IMPLEMENTED_SLICE_6; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"WeddingOS stores no card data and holds no funds. Provider events are signed/deduped; capture creates one ledger source and refunds create positive append-only compensations under If-Match and transaction lock."
Guest CRM,IMPLEMENTED,"guest.read; guest.read_pii by capability","guest.write","guest.write","guest.archive",none,none,"guest.import; guest.export",none,"guest.read_pii; guest.read_sensitive",generated export artifacts only,none,IMPLEMENTED_SLICE_3; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Server authorization, field redaction, forced RLS, versioning, tags, filters, cursor pagination and explicit bulk commands are enforced."
Households & Import,IMPLEMENTED,"guest.read","guest.write","guest.write","guest.archive",none,none,"guest.import; guest.export",none,"guest.read_pii",managed import metadata and generated export artifacts,none,IMPLEMENTED_SLICE_3; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"CSV/XLSX imports use managed storage, explicit row decisions and idempotent commit."
Invitation Site,IMPLEMENTED,"invitation.read","invitation.write","invitation.write","invitation.write","invitation.publish",none,invitation.manage_recipients,none,redacted recipient snapshot,QR generated from revocable opaque grant,none,IMPLEMENTED_SLICE_3; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Immutable versions and explicit publish/unpublish; raw access tokens are never persisted."
Invitation Editor,IMPLEMENTED,"invitation.read",invitation.write,invitation.write,invitation.write,invitation.publish,none,none,none,redacted/none,no media upload,none,IMPLEMENTED_SLICE_3; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Versioned structured document with URL sanitization; media upload remains disabled."
Communication Campaigns,IMPLEMENTED,"campaign.read; campaign.view_delivery",campaign.write,campaign.write,campaign.write,campaign.send,none,none,none,"recipient address only for authorized send","immutable personalization snapshot",none,IMPLEMENTED_SLICE_3; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Email-only snapshot/fan-out/delivery/summary workflow with signed webhook dedupe and retry of failed recipients."
RSVP,IMPLEMENTED,"rsvp.read",rsvp.configure,"rsvp.configure; rsvp.override",none,rsvp.configure,rsvp.override,none,none,"opaque household-scoped guest grant",none,none,IMPLEMENTED_SLICE_3; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Atomic per-event household RSVP with deadline, replay and optimistic concurrency."
Seating,IMPLEMENTED,seating.read,seating.write,seating.write,seating.write,seating.publish,seating.assign,seating.export,none,"seating.read_sensitive_summary for protected catering details",GeneratedArtifact only,capability + forced RLS,IMPLEMENTED_SLICE_4; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Draft/review/publish workflow; deterministic suggestions never auto-apply; Guest Companion sees own household only."
Menus & Allergies,IMPLEMENTED,"menu.read; menu.read_allergies by capability",menu.write,menu.write,menu.write,none,menu.resolve_allergies,menu.export,none,"menu.read_allergies; guest.read_sensitive",generated catering artifact only,none,IMPLEMENTED_SLICE_3; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Allergies are encrypted at rest and exposed only through the authorized resolution workflow."
Transport,IMPLEMENTED,transport.read,transport.write,transport.write,transport.write,transport.publish,transport.assign,transport.export,none,"transport.read_sensitive for protected contacts",GeneratedArtifact only,capability + forced RLS,IMPLEMENTED_SLICE_4; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"RSVP requests remain distinct from assignments; capacity and workspace identity are server-enforced."
Accommodation,IMPLEMENTED,accommodation.read,accommodation.write,accommodation.write,accommodation.write,accommodation.publish,accommodation.assign,accommodation.export,none,"accommodation.read_sensitive for protected contacts and notes",GeneratedArtifact only,capability + forced RLS,IMPLEMENTED_SLICE_4; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Requests, inventory and allocations are separate; adult/child capacity and overlapping stays are validated."
Marketplace,IMPLEMENTED,marketplace.read,none,none,none,none,none,none,public vendor profile only,none,public URL references only,none,IMPLEMENTED_SLICE_5; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Only explicitly published vendor profiles are public; legal, billing and tax fields remain private."
Vendor Profiles,IMPLEMENTED,"vendor.profile.read","vendor.profile.write","vendor.profile.write",vendor.profile.write,vendor.profile.publish,vendor.profile.publish,none,"public published DTO only; organization members see private draft","legal/tax/billing fields excluded from public DTO",public URL references only,forced vendor RLS,IMPLEMENTED_SLICE_5; INTEGRATION_TESTED; E2E_TESTED,"Publication is explicit; suspended/unpublished profiles disappear from Marketplace without invalidating existing commercial relationships."
Favorites,IMPLEMENTED,marketplace.read,marketplace.favorite,marketplace.favorite,marketplace.favorite,none,none,none,none,none,none,none,IMPLEMENTED_SLICE_5; INTEGRATION_TESTED; E2E_TESTED,"Favorites are user-owned inside the workspace and protected by forced RLS."
Shortlists,IMPLEMENTED,marketplace.read,marketplace.shortlist,marketplace.shortlist,marketplace.shortlist,none,none,none,none,none,none,none,IMPLEMENTED_SLICE_5; INTEGRATION_TESTED; E2E_TESTED,"Shortlists and vendor membership are persistent workspace resources with optimistic versioning."
RFQ,IMPLEMENTED,rfq.read,rfq.write,rfq.write,rfq.close,rfq.send,none,commercial export,"budget range in minor units",recipient snapshots only,none,none,IMPLEMENTED_SLICE_5; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"RFQ send commits canonical state and durable delivery intent; it does not claim provider delivery."
Offers,IMPLEMENTED,offer.read,vendor.offer.write,"vendor.offer.write; offer.review; offer.request_revision",vendor.offer.write,vendor.offer.submit,"offer.accept; offer.reject",commercial export,"server-calculated totals",redacted negotiation,none,none,IMPLEMENTED_SLICE_5; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Offers use immutable submitted versions; acceptance is atomic and replay-safe."
Offer Comparison & Negotiation,IMPLEMENTED,offer.read,"vendor.offer.write; offer.request_revision","vendor.offer.write; offer.review; offer.request_revision",none,vendor.offer.submit,"offer.accept; offer.reject",commercial export,"normalized offer totals",thread participants only,none,forced dual-tenant RLS,IMPLEMENTED_SLICE_5; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Comparison is normalized server-side; negotiation messages are persistent and isolated to the linked wedding and vendor organization."
Bookings,IMPLEMENTED,booking.read,"created atomically by offer.accept",booking.write,booking.transition,none,booking.transition,commercial export,"committed/outstanding totals",redacted/none,contract references only,none,IMPLEMENTED_SLICE_5; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"One accepted offer creates one booking and budget projection; dual-tenant RLS permits only the linked wedding and vendor organization."
Vendor Business OS,IMPLEMENTED,"vendor capability set",vendor.organization.write,"vendor profile/service/offer/contract/review/subscription/payout capabilities",vendor.organization.write,vendor.profile.publish,"vendor.contract.acknowledge; vendor.review.dispute",contract.export,"organization-scoped commercial and settlement data",organization member data only,public URL references only,forced vendor RLS and persisted worker/provider vendor context,IMPLEMENTED_SLICE_7; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Vendor Owner, Manager, Sales, Operations and Viewer use closed role templates and independently enforced capabilities; trust, subscription and payout access is not inferred from a page role."
Contracts,IMPLEMENTED,"contract.read; document.read; signature.read","created from accepted offer; signature.create","contract.write; document.write; signature.send; signature.cancel","contract.cancel; document.delete",contract.review,"contract.acknowledge; contract.cancel; signature.sign","contract.export; signature.download_evidence","structured terms and payment schedule",typed-name acknowledgement plus signer-scoped provider evidence,"immutable materialized PDF, attachments and signature evidence",none,IMPLEMENTED_SLICE_6; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Operational acknowledgements remain distinct from provider electronic signatures; every envelope is bound to one immutable contract/document hash and the displayed legal level comes only from provider evidence."
Documents,IMPLEMENTED,"document.read; document.read_sensitive by capability","document.upload; document.write","document.write; document.share; document.manage_retention","document.delete","vendor.profile.publish for clean derivatives",none,"document.download; document.view_access_log",financial classifications capability-gated,redacted access-event metadata,"private S3-compatible object plus scan-gated signed URL",forced workspace/vendor RLS and persisted grant/relationship checks,IMPLEMENTED_SLICE_6; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Upload sessions are purpose/size/MIME/checksum bounded; ClamAV fails closed; object keys never leave the server; access and cleanup are audited and retention-aware."
Design Studio,DOAR MOCK,workspace_members_by_capability,"couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner","couple_owner,couple_partner,wedding_planner",none unless linked record is redacted,redacted/none,resource ACL plus module capability,none,ABSENT_REPOSITORY,Frontend role rules are recommendations; no server enforcement exists.
Moodboards,DOAR MOCK,workspace_members_by_capability,"couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner","couple_owner,couple_partner,wedding_planner",none unless linked record is redacted,redacted/none,resource ACL plus module capability,none,ABSENT_REPOSITORY,Frontend role rules are recommendations; no server enforcement exists.
Risks,IMPLEMENTED,risk.read,risk.write,"risk.write; risk.assess; risk.assign",risk.write,none,"risk.accept; risk.resolve",none,authorized financial signals only,redacted guest signals only,authorized source references only,risk.read_sensitive,IMPLEMENTED_SLICE_9; UNIT_TESTED; E2E_TESTED,"Canonical score, signals, assessments, mitigations and explicit state transitions use forced workspace RLS."
Plan B,IMPLEMENTED,contingency.read,contingency.write,contingency.write,none,none,"contingency.approve; contingency.activate; contingency.complete",none,none,redacted/none,authorized source references only,none,IMPLEMENTED_SLICE_9; UNIT_TESTED; E2E_TESTED,"Versioned plans separate simulation, approval and activation; activation creates only allowlisted canonical actions."
Wedding Day Command Center,IMPLEMENTED,wedding_day.read,wedding_day.write,"wedding_day.write; wedding_day.transition; wedding_day.manage_contacts",wedding_day.write,"wedding_day.publish; wedding_day.go_live","incident.resolve; announcement.publish",wedding_day.read,none,"incident.read_sensitive; encrypted contact phone/notes",GeneratedArtifact CSV/XLSX,none,IMPLEMENTED_SLICE_8; UNIT_TESTED; E2E_TESTED,"Versioned plan and immutable published/live snapshots, Run of Show, checklists, contacts, incidents, announcements, SSE and capability-filtered Quick Create use canonical API state with forced RLS."
Wedding Moments,IMPLEMENTED,"guest_moment.read; gallery.read","guest_moment.upload; gallery.write","gallery.write; guest_moment.moderate",guest_moment.delete,gallery.publish,"guest_moment.moderate; guest_moment.publish",none,none,"guest grant exposes own submissions and authorized gallery only","private scan-gated object plus managed derivative",none,IMPLEMENTED_SLICE_8; UNIT_TESTED; E2E_TESTED,"Direct upload is bounded by type/size/checksum; ClamAV fails closed; moderation and publication are separate; raw storage keys are never exposed."
Wedding Day Check-In,IMPLEMENTED,check_in.read,"check_in.manage_sessions; check_in.manage_devices; check_in.write","check_in.manage_sessions; check_in.manage_devices; check_in.write",check_in.manage_devices,none,check_in.override,wedding_day.read,none,"guest PII only for authorized organizer lookup; QR has no PII",GeneratedArtifact CSV/XLSX,"device and offline-sync capability",IMPLEMENTED_SLICE_8; UNIT_TESTED; E2E_TESTED,"QR and device secrets are hash-only; online/manual/offline commands are idempotent; declined-guest override requires reason and is audited."
Calculators,DOAR FRONTEND,workspace_members_by_capability,"couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner","couple_owner,couple_partner,wedding_planner",none unless linked record is redacted,redacted/none,linked file metadata only,none,ABSENT_REPOSITORY,Frontend role rules are recommendations; no server enforcement exists.
Post-Wedding,DOAR MOCK,workspace_members_by_capability,"couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner","couple_owner,couple_partner,wedding_planner",none unless linked record is redacted,redacted/none,linked file metadata only,none,ABSENT_REPOSITORY,Frontend role rules are recommendations; no server enforcement exists.
Reviews,IMPLEMENTED,"review.read; vendor.review.read; public published serializer",review.create,"review.edit; vendor.review.reply",review.withdraw,review.publish,"review.report; vendor.review.dispute; platform.review_decide",none,none,"review author identity redacted publicly; reports and disputes private",none,"platform.review_moderate; forced wedding/vendor RLS",IMPLEMENTED_SLICE_7; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Only completed persisted bookings create eligibility; versions are immutable, rating uses published verified data, and moderation does not expose private reporter/vendor evidence."
Vendor Subscriptions,IMPLEMENTED,vendor.subscription.read,vendor.subscription.checkout,"vendor.subscription.manage; vendor.subscription.portal",vendor.subscription.manage,none,none,none,"plan price in integer minor units; provider identifiers server-only",organization member data only,none,"platform.subscription.read; platform.subscription.write_plans; platform.subscription.manage; platform.subscription.reconcile",IMPLEMENTED_SLICE_7; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Trial is one-time, provider webhooks are signed/deduped/monotone, and effective entitlements fall back to FREE after terminal status or expired grace."
Vendor Payouts,IMPLEMENTED,vendor.payout.read,vendor.payout.onboard,vendor.payout.onboard,none,none,vendor.payout.request,vendor.payout.export,"balance, fees, allocations, settlements and payout amounts in integer minor units",organization member data only,none,"platform.settlement.read; platform.settlement.calculate; platform.settlement.finalize; platform.payout.create; platform.payout.reconcile; platform.payout.view_provider_details",IMPLEMENTED_SLICE_7; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"WeddingOS stores no bank credentials and does not hold funds; connected-account state is provider-derived, payable ledger is append-only, and refunds/disputes/returns use compensating entries."
Platform Trust & Monetization,IMPLEMENTED,"explicit persisted platform capability grant",platform.subscription.write_plans,"platform.review_moderate; platform.subscription.manage; platform.subscription.reconcile; platform.payout.reconcile",none,none,"platform.review_decide; platform.settlement.finalize; platform.payout.create",none,"provider and settlement details capability-gated",private reports/disputes visible only with platform.review_view_private,none,"no role-name shortcut; each operation checks PlatformCapabilityGrant",IMPLEMENTED_SLICE_7; UNIT_TESTED; INTEGRATION_TESTED; E2E_TESTED,"Platform access is independent of wedding/vendor membership and is denied until each atomic capability is persisted; moderation decisions and financial effects remain auditable."
Archive,TREBUIE CONSTRUIT,workspace_members_by_capability,"couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner,wedding_planner","couple_owner,couple_partner","couple_owner,couple_partner,wedding_planner",none unless linked record is redacted,redacted/none,resource ACL plus module capability,none,ABSENT_REPOSITORY,Frontend role rules are recommendations; no server enforcement exists.
Guest Companion,IMPLEMENTED,"guest access grant household scope",guest,"guest while deadline and edits permit",-,guest,-,guest,none,"opaque token; own household published seating/transport/accommodation/check-in/media only",none,none,IMPLEMENTED_SLICE_8; UNIT_TESTED; E2E_TESTED,"Grant validation returns only household-scoped published logistics, guest-visible live events, own QR credential/submissions and authorized gallery items; incidents, other attendance and private contacts remain hidden."
Admin Backoffice,IMPLEMENTED,"persisted platform capability by environment plus MFA for critical roles","platform.support.write; platform.feature_flag.write","atomic platform write capability plus purpose-bound step-up",none,none,"platform.privacy.process; platform.release.approve",platform.audit.export,"platform.finance.read only",redacted summaries only,"no raw object keys or secrets","platform grant plus forced RLS plus MFA/step-up",IMPLEMENTED_SLICE_10B; UNIT_TESTED; CLOSURE_E2E_PENDING,"Detailed admin routes are connected; critical mutations require a short-lived purpose-bound step-up token."
Platform Administration,IMPLEMENTED,"persisted environment-scoped platform capability and critical-role MFA",platform.support.write,"atomic platform write capabilities plus purpose-bound step-up",none,none,"platform.privacy.process; platform.release.approve",platform.audit.export,"finance detail only with platform.finance.read",redacted summaries only,"no raw object keys or secrets","platform grant plus forced RLS plus MFA/step-up",IMPLEMENTED_SLICE_10B; UNIT_TESTED; CLOSURE_E2E_PENDING,"No role-name shortcut; critical suspension, maintenance, feature flag, legal-hold, backup and restore mutations require step-up and remain audited."
Privacy Center,IMPLEMENTED,self,self,self,none,none,"platform.privacy.process; platform.privacy.override_hold",self,"retention-aware summaries",self only,"secure generated artifact contract",platform.privacy.read,IMPLEMENTED_SLICE_10B; UNIT_TESTED; CLOSURE_E2E_PENDING,"Privacy export has a real requester-bound worker artifact; retention purge and deletion execution remain blocked and are never shown as complete."
Controlled Automations,IMPLEMENTED,automation.read,automation.write,automation.write,automation.write,none,"automation.approve; automation.activate; automation.pause",none,none,redacted/none,none,automation.manage_templates,IMPLEMENTED_SLICE_9; UNIT_TESTED; E2E_TESTED,"Closed triggers and allowlisted actions only; dry-run, execution steps, idempotency, recursion guards and approval are persistent."
